0 3.03622 5.70274 
0.2 2.12478 6.21869 
0.4 1.15638 6.54874 
0.6 0.00251508 6.66907 
0.8 -1.50776 6.52455 
1 -2.93805 6.06921 
1.2 -3.78424 5.39358 
1.4 -4.72063 4.54267 
1.6 -5.3976 3.52956 
1.8 -6.24845 2.35861 
2 -6.58664 1.07364 
2.2 -6.72081 -0.268318 
2.4 -6.4063 -1.58264 
2.6 -6.18753 -2.83986 
2.8 -5.8542 -4.05049 
3 -5.0052 -5.14458 
3.2 -4.10273 -6.05124 
3.4 -2.90177 -6.76364 
3.6 -1.65268 -7.21435 
3.8 -0.181596 -7.39657 
4 1.31122 -7.28325 
4.2 2.76116 -6.87533 
4.4 4.05481 -6.19116 
4.6 5.19799 -5.26346 
4.8 6.1428 -4.12905 
5 6.61388 -2.84262 
5.2 7.16755 -1.46173 
5.4 7.36619 0.00283095 
5.6 7.10855 1.45291 
5.8 6.65514 2.83777 
6 5.86819 4.08534 
6.2 5.00123 5.17891 
6.4 3.91346 6.06847 
6.6 2.76426 6.73638 
6.8 1.49032 7.16693 
7 -0.145707 7.30144 
7.2 -1.66595 7.1157 
7.4 -2.87562 6.66545 
7.6 -4.29683 5.95027 
7.8 -5.60828 4.95249 
8 -6.57233 3.73234 
8.2 -7.16642 2.34959 
8.4 -7.54616 0.875493 
8.6 -7.63901 -0.647823 
8.8 -7.29141 -2.14114 
9 -6.62038 -3.54171 
9.2 -5.81158 -4.79439 
9.4 -4.84745 -5.85958 
9.6 -3.70514 -6.71466 
9.8 -2.19166 -7.29691 
10 -0.802905 -7.59611 
10.2 0.632734 -7.61497 
10.4 2.14347 -7.33273 
10.6 3.3 -6.78301 
10.8 4.32338 -6.0215 
11 5.33518 -5.05516 
11.2 6.14927 -3.89909 
11.4 6.80092 -2.60868 
11.6 7.16087 -1.20437 
11.8 7.29693 0.242328 
12 6.94805 1.66938 
12.2 6.39857 3.01455 
12.4 5.78278 4.24018 
12.6 4.81399 5.30845 
12.8 3.53766 6.14695 
13 2.41695 6.74711 
13.2 1.07129 7.09697 
13.4 -0.265134 7.18099 
13.6 -1.67306 6.98722 
13.8 -2.84538 6.5339 
14 -4.34383 5.80589 
14.2 -5.18667 4.85448 
14.4 -5.99198 3.72855 
14.6 -6.64883 2.45806 
14.8 -7.03592 1.08033 
15 -6.9494 -0.318772 
15.2 -6.65745 -1.67839 
15.4 -6.31854 -2.97315 
15.6 -5.70402 -4.18745 
15.8 -4.78431 -5.23399 
16 -3.971 -6.10906 
16.2 -2.96992 -6.81543 
16.4 -1.39662 -7.24637 
16.6 0.136584 -7.36683 
16.8 1.62015 -7.18425 
17 3.02843 -6.71092 
17.2 4.08225 -5.98755 
17.4 5.14468 -5.05452 
17.6 6.02911 -3.92807 
17.8 6.67522 -2.65294 
18 7.06305 -1.27763 
18.2 7.1138 0.140292 
18.4 6.90585 1.54111 
18.6 6.49276 2.8851 
18.8 5.58052 4.095 
19 4.72948 5.12983 
19.2 3.7488 5.97505 
19.4 2.36823 6.59223 
19.6 0.912933 6.92005 
19.8 -0.460737 6.96673 
20 -1.76334 6.7394 
