2	5.30708	0.824293
2.01	5.33828	0.829809
2.02	5.36952	0.835491
2.03	5.40078	0.841343
2.04	5.43207	0.847367
2.05	5.46337	0.853567
2.06	5.49469	0.859947
2.07	5.52601	0.866508
2.08	5.55733	0.873255
2.09	5.58864	0.880192
2.1	5.61993	0.887321
2.11	5.6512	0.894647
2.12	5.68243	0.902172
2.13	5.71362	0.909902
2.14	5.74476	0.91784
2.15	5.77585	0.92599
2.16	5.80686	0.934356
2.17	5.8378	0.942941
2.18	5.86866	0.951752
2.19	5.89942	0.96079
2.2	5.93007	0.970062
2.21	5.96061	0.979572
2.22	5.99102	0.989324
2.23	6.0213	0.999322
2.24	6.05142	1.00957
2.25	6.08139	1.02008
2.26	6.11119	1.03085
2.27	6.1408	1.04188
2.28	6.17022	1.05319
2.29	6.19943	1.06477
2.3	6.22842	1.07663
2.31	6.25717	1.08878
2.32	6.28568	1.10123
2.33	6.31393	1.11397
2.34	6.3419	1.12701
2.35	6.36958	1.14036
2.36	6.39696	1.15403
2.37	6.42402	1.16802
2.38	6.45074	1.18233
2.39	6.47711	1.19697
2.4	6.50312	1.21195
2.41	6.52874	1.22728
2.42	6.55397	1.24295
2.43	6.57878	1.25898
2.44	6.60315	1.27536
2.45	6.62708	1.29212
2.46	6.65053	1.30924
2.47	6.6735	1.32674
2.48	6.69597	1.34463
2.49	6.71791	1.3629
2.5	6.73931	1.38157
2.51	6.76015	1.40063
2.52	6.78041	1.4201
2.53	6.80007	1.43999
2.54	6.81911	1.46028
2.55	6.83751	1.481
2.56	6.85525	1.50214
2.57	6.87232	1.52372
2.58	6.88868	1.54572
2.59	6.90433	1.56817
2.6	6.91924	1.59106
2.61	6.93339	1.6144
2.62	6.94675	1.63818
2.63	6.95932	1.66242
2.64	6.97107	1.68712
2.65	6.98197	1.71227
2.66	6.99202	1.73789
2.67	7.00118	1.76397
2.68	7.00944	1.79051
2.69	7.01678	1.81752
2.7	7.02319	1.84499
2.71	7.02863	1.87293
2.72	7.0331	1.90133
2.73	7.03657	1.9302
2.74	7.03902	1.95953
2.75	7.04045	1.98932
2.76	7.04082	2.01957
2.77	7.04013	2.05027
2.78	7.03836	2.08141
2.79	7.0355	2.113
2.8	7.03152	2.14503
2.81	7.02642	2.17749
2.82	7.02019	2.21037
2.83	7.0128	2.24367
2.84	7.00426	2.27737
2.85	6.99455	2.31147
2.86	6.98365	2.34595
2.87	6.97157	2.38081
2.88	6.9583	2.41603
2.89	6.94382	2.45159
2.9	6.92815	2.48748
2.91	6.91126	2.52369
2.92	6.89316	2.5602
2.93	6.87386	2.59698
2.94	6.85334	2.63403
2.95	6.83161	2.67133
2.96	6.80868	2.70884
2.97	6.78455	2.74656
2.98	6.75922	2.78445
2.99	6.73271	2.82249
3	6.70502	2.86067
3.01	6.67617	2.89895
3.02	6.64616	2.9373
3.03	6.61501	2.97571
3.04	6.58274	3.01413
3.05	6.54936	3.05255
3.06	6.5149	3.09094
3.07	6.47936	3.12926
3.08	6.44278	3.16748
3.09	6.40517	3.20557
3.1	6.36656	3.2435
3.11	6.32697	3.28124
3.12	6.28644	3.31875
3.13	6.24499	3.356
3.14	6.20265	3.39296
3.15	6.15945	3.4296
3.16	6.11542	3.46587
3.17	6.0706	3.50175
3.18	6.02502	3.53721
3.19	5.97871	3.57221
3.2	5.93171	3.60671
3.21	5.88406	3.64068
3.22	5.83579	3.6741
3.23	5.78694	3.70693
3.24	5.73755	3.73913
3.25	5.68766	3.77069
3.26	5.6373	3.80155
3.27	5.58652	3.83171
3.28	5.53536	3.86113
3.29	5.48385	3.88977
3.3	5.43203	3.91762
3.31	5.37995	3.94465
3.32	5.32764	3.97084
3.33	5.27514	3.99616
3.34	5.22249	4.02058
3.35	5.16973	4.0441
3.36	5.11689	4.06668
3.37	5.06401	4.08832
3.38	5.01114	4.10899
3.39	4.9583	4.12867
3.4	4.90552	4.14737
3.41	4.85285	4.16505
3.42	4.80032	4.18172
3.43	4.74795	4.19736
3.44	4.69579	4.21196
3.45	4.64386	4.22552
3.46	4.59218	4.23803
3.47	4.54079	4.24949
3.48	4.48972	4.2599
3.49	4.43899	4.26925
3.5	4.38862	4.27754
3.51	4.33865	4.28478
3.52	4.28908	4.29098
3.53	4.23995	4.29613
3.54	4.19127	4.30024
3.55	4.14307	4.30331
3.56	4.09536	4.30536
3.57	4.04815	4.3064
3.58	4.00147	4.30643
3.59	3.95532	4.30547
3.6	3.90973	4.30353
3.61	3.8647	4.30061
3.62	3.82024	4.29675
3.63	3.77637	4.29194
3.64	3.73309	4.28622
3.65	3.69042	4.27958
3.66	3.64836	4.27206
3.67	3.60691	4.26366
3.68	3.56609	4.25441
3.69	3.52589	4.24433
3.7	3.48632	4.23342
3.71	3.44739	4.22173
3.72	3.40909	4.20925
3.73	3.37144	4.19603
3.74	3.33442	4.18206
3.75	3.29804	4.16738
3.76	3.2623	4.15201
3.77	3.2272	4.13597
3.78	3.19273	4.11927
3.79	3.1589	4.10195
3.8	3.1257	4.08402
3.81	3.09313	4.0655
3.82	3.06118	4.04642
3.83	3.02986	4.02679
3.84	2.99916	4.00664
3.85	2.96907	3.98598
3.86	2.93958	3.96485
3.87	2.91071	3.94326
3.88	2.88242	3.92122
3.89	2.85474	3.89877
3.9	2.82763	3.87591
3.91	2.80111	3.85268
3.92	2.77516	3.82909
3.93	2.74978	3.80515
3.94	2.72496	3.78089
3.95	2.7007	3.75633
3.96	2.67698	3.73148
3.97	2.65381	3.70636
3.98	2.63117	3.681
3.99	2.60905	3.6554
4	2.58746	3.62958
4.01	2.56637	3.60356
4.02	2.5458	3.57736
4.03	2.52572	3.55099
4.04	2.50613	3.52447
4.05	2.48703	3.4978
4.06	2.4684	3.47102
4.07	2.45025	3.44412
4.08	2.43256	3.41713
4.09	2.41532	3.39005
4.1	2.39853	3.36291
4.11	2.38219	3.33571
4.12	2.36628	3.30846
4.13	2.3508	3.28118
4.14	2.33574	3.25387
4.15	2.32109	3.22656
4.16	2.30686	3.19924
4.17	2.29303	3.17194
4.18	2.27959	3.14465
4.19	2.26654	3.1174
4.2	2.25388	3.09018
4.21	2.2416	3.06301
4.22	2.22968	3.0359
4.23	2.21813	3.00885
4.24	2.20694	2.98188
4.25	2.19611	2.95498
4.26	2.18562	2.92817
4.27	2.17548	2.90146
4.28	2.16567	2.87485
4.29	2.1562	2.84835
4.3	2.14706	2.82196
4.31	2.13823	2.79569
4.32	2.12972	2.76955
4.33	2.12153	2.74353
4.34	2.11364	2.71766
4.35	2.10606	2.69192
4.36	2.09877	2.66633
4.37	2.09178	2.64089
4.38	2.08508	2.61561
4.39	2.07866	2.59048
4.4	2.07252	2.56551
4.41	2.06666	2.54071
4.42	2.06107	2.51608
4.43	2.05576	2.49162
4.44	2.0507	2.46734
4.45	2.04591	2.44323
4.46	2.04138	2.4193
4.47	2.0371	2.39556
4.48	2.03307	2.372
4.49	2.02929	2.34863
4.5	2.02575	2.32544
4.51	2.02245	2.30245
4.52	2.01939	2.27965
4.53	2.01657	2.25704
4.54	2.01398	2.23463
4.55	2.01162	2.21241
4.56	2.00948	2.19039
4.57	2.00757	2.16857
4.58	2.00587	2.14695
4.59	2.0044	2.12553
4.6	2.00314	2.10431
4.61	2.0021	2.08328
4.62	2.00126	2.06246
4.63	2.00064	2.04185
4.64	2.00022	2.02143
4.65	2.00001	2.00122
4.66	1.99999	1.9812
4.67	2.00018	1.96139
4.68	2.00057	1.94179
4.69	2.00115	1.92238
4.7	2.00193	1.90317
4.71	2.0029	1.88417
4.72	2.00406	1.86537
4.73	2.00541	1.84676
4.74	2.00694	1.82836
4.75	2.00866	1.81015
4.76	2.01057	1.79215
4.77	2.01266	1.77434
4.78	2.01493	1.75673
4.79	2.01738	1.73932
4.8	2.02001	1.7221
4.81	2.02282	1.70507
4.82	2.0258	1.68824
4.83	2.02896	1.6716
4.84	2.03229	1.65516
4.85	2.0358	1.6389
4.86	2.03947	1.62284
4.87	2.04332	1.60696
4.88	2.04733	1.59127
4.89	2.05152	1.57577
4.9	2.05587	1.56045
4.91	2.06039	1.54532
4.92	2.06507	1.53037
4.93	2.06992	1.5156
4.94	2.07493	1.50101
4.95	2.08011	1.4866
4.96	2.08545	1.47237
4.97	2.09095	1.45832
4.98	2.09661	1.44444
4.99	2.10244	1.43073
5	2.10842	1.4172
5.01	2.11457	1.40384
5.02	2.12087	1.39065
5.03	2.12733	1.37763
5.04	2.13395	1.36478
5.05	2.14073	1.35209
5.06	2.14766	1.33957
5.07	2.15476	1.32721
5.08	2.162	1.31501
5.09	2.16941	1.30297
5.1	2.17697	1.2911
5.11	2.18469	1.27938
5.12	2.19256	1.26782
